key,rank_pattern,rank_route,rank_move,unserved_change_pct_pattern,gc_pattern,kind,unserved_change_pct_route,gc_route,in_top10_pattern,in_top10_route
splice|002|033|WESHIGW,1,4,3,-0.171772115659885,0.2806729746944292,splice,-2.290921709950555,-0.1032352503101408,True,True
splice|033|034|WESHIGW,2,7,5,-0.1202404809619306,-0.3549917427500992,splice,-2.0911663867924424,0.2272802459070577,True,True
splice|005|021|NMURBEAN,3,2,-1,-0.091611795018609,0.4295346339346251,splice,-3.0760007551164925,0.0269319829242276,True,True
splice|011|033|WESHIGW,4,11,7,-0.0687088462639651,0.1058991012812704,splice,-1.4569800952052403,-0.075199733606357,True,False
splice|007|101|EMO4THW,5,8,3,-0.0515316346979655,0.3746688997369851,splice,-1.8492846089967707,-0.1724333850576465,True,True
splice|006|021|NMURBEAN,6,3,-3,-0.04580589750931,-0.2642048327984536,splice,-2.7826739100563658,0.2540510793760608,True,True
splice|001|021|PICBETS,7,1,-6,-0.034354423131977,-0.1256834267191142,splice,-3.331004628724421,0.0868368584916901,True,True
splice|008|035|BOASHAN,8,9,1,-0.0286286859433215,0.0095560096370128,splice,-1.5821705388879392,-0.1064188588407177,True,True
splice|011|034|WESHIGW,9,12,3,-0.0171772115659885,0.1487327162953411,splice,-1.0979642754075036,-0.23908718721799,True,False
splice|002|034|WESHIGW,10,5,-5,-0.0171772115659885,0.4589699837704186,splice,-2.17394936477201,-0.4261667082788301,True,True
splice|005|006|NMURBEAN,11,6,-5,0.0,-0.3742982135331196,splice,-2.123188309797208,-0.3718595177126471,False,True
extend|032|a10:HILWESS,12,13,1,0.0,-0.2032020284741809,extend,-0.3691581659940768,0.1549232580053239,False,False
truncate|007|d5:FROBROS,13,14,1,0.0,-0.1478270049706243,truncate,-0.1862461659234759,0.0598406765167869,False,False
truncate|007|d3:INTSAWW,14,16,2,0.0,-0.1338569548939627,truncate,-0.1767627484179246,0.005576296290477,False,False
truncate|035|d3:STE418N,15,19,4,0.0,-0.1225927887528066,truncate,-0.1582878859267444,0.0031940891966453,False,False
straighten|102|d3:346HUTCH,16,15,-1,0.0,-0.1006862630081317,straighten,-0.1773721674044881,-0.0059772530795254,False,False
straighten|024|d4:HAMCHEN,17,20,3,0.0,-0.0964847375544031,straighten,-0.1397918920112317,0.0238039106256859,False,False
straighten|007|d8:ALLOPPE,18,17,-1,0.0,-0.096417903461754,straighten,-0.1763898222099214,0.0160153897032166,False,False
reroute|031|rMOCWOOE-STEMORN1,19,23,4,0.0,-0.0799995976174083,reroute,-0.0944762657537179,-0.018615478926276,False,False
truncate|023|d8:EASMORE,20,22,2,0.0,-0.0724438556265472,truncate,-0.10731961662368,-0.0038331464590424,False,False
extend|025|a10:MORSTEE,21,21,0,0.0,-0.0552620212079246,extend,-0.1267823964053338,-0.0406209430989457,False,False
straighten|011|d10:RICGRAW,22,24,2,0.0,-0.0546709383210886,straighten,-0.0720819160301089,-0.0013081120791458,False,False
straighten|031|d6:KINSTAW,23,29,6,0.0,-0.0472879838696482,straighten,-0.0197881868721272,-0.00091518005908,False,False
truncate|012|d3:MCKTRAW,24,25,1,0.0,-0.0379339802255351,truncate,-0.0501318466213707,0.001445555636681,False,False
straighten|004|d5:FAISOUS,25,27,2,0.0,-0.0255531386423646,straighten,-0.0337179858246661,0.0005868905348149,False,False
reroute|009|rRICGRUE-SAIBUCN,26,28,2,0.0,-0.0108650650811559,reroute,-0.0208271343687282,0.0209459252482835,False,False
reroute|003|rRICGRUE-4THATHN,27,26,-1,0.0,-0.0099370608788618,reroute,-0.0488046822938459,0.0403776059187288,False,False
straighten|001|d4:BETPICW,28,31,3,0.0,-0.0034364575338896,straighten,0.0017521362411843,0.0037316289838162,False,False
truncate|101|d11:EMO4THW,29,49,20,0.0,0.0015205754266833,truncate,0.1671796396545799,-0.1751961131926105,False,False
