candidate,modelA_pct,modelB_pct,rank_A,rank_B,rank_move
splice|011|034|WESHIGW,-0.8596646852271683,-0.5845518890625012,2,1,-1
splice|033|034|WESHIGW,-0.9363288256530877,-0.4847300017118972,1,2,1
splice|005|006|NMURBEAN,-0.6837156063005057,-0.2724138115293817,3,3,0
splice|011|033|WESHIGW,-0.615028203515422,-0.23319844921705357,4,4,0
splice|006|021|NMURBEAN,-0.24742343945320933,0.026113796244287002,8,5,-3
splice|002|034|WESHIGW,-0.08848704618275027,0.052252785603124074,10,6,-4
splice|007|101|EMO4THW,1.2511973397224763,0.15258065065371085,12,7,-5
splice|008|035|BOASHAN,-0.49038379549045663,0.2568093021849016,6,8,2
splice|002|011|HIGFITN,-0.15535179245446118,0.3214998367710775,9,9,0
splice|001|021|PICBETS,-0.5120570150487058,0.3717146467645982,5,10,5
splice|005|021|NMURBEAN,-0.35327721403256573,0.3950910652520845,7,11,4
splice|002|033|WESHIGW,0.9779997476225599,1.4828715105629886,11,12,1
