state_key,state_digest,cardinality,members,lambda,seed,effort,seconds,objective,generalized_cost,unserved_demand,served_demand,gc_per_served_trip,revenue_veh_hours,evidence_class,modelled_share_pct,network_edit_distance_pct,waiting_model,peak_fleet_check,peak_concurrency,role
<none>,6e9c960fd025b2e5b1cbceebc7e7b31d041c4c352987f3b56b07f14ad43abca7,0,,2.0,20260825,60000/2/32,412.56,2956120.5839554886,1786612.7109357275,9745.898941831343,21203.10105816866,84.26185896272096,2515.1316648835345,unknown,,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.19194675925925,<none>|rep0
<none>,6e9c960fd025b2e5b1cbceebc7e7b31d041c4c352987f3b56b07f14ad43abca7,0,,2.0,20260826,60000/2/32,411.58,2956120.5839554886,1786612.7109357275,9745.898941831343,21203.10105816866,84.26185896272096,2515.1316648835345,unknown,,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.19194675925925,<none>|rep1
<none>,6e9c960fd025b2e5b1cbceebc7e7b31d041c4c352987f3b56b07f14ad43abca7,0,,2.0,20260827,60000/2/32,406.3,2956120.5839554886,1786612.7109357275,9745.898941831343,21203.10105816866,84.26185896272096,2515.1316648835345,unknown,,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.19194675925925,<none>|rep2
add_stop-006#9aecfd5100eb,c58b5e9ff7f70671c57f98d257ac52315480a50ff0bef3e7c0b4f00181623970,1,add_stop-006#9aecfd5100eb,2.0,20260825,60000/2/32,410.88,2955918.2801652187,1786492.3773422698,9745.215856857909,21203.784143142093,84.25346934688883,2513.505612986457,secondary,4.1237,0.034,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.10445608214238,add_stop-006#9aecfd5100eb
add_stop-008#f178c37040f5,39892dc91fa666bd4db639cd12998d26d0f4930c7dc8073e8b56e73942138ae3,1,add_stop-008#f178c37040f5,2.0,20260825,60000/2/32,411.5,2955879.486053047,1786519.8930678552,9744.663274876595,21204.33672512341,84.2525713596664,2514.7248085519623,primary,0.9756,0.067,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.16513138846818,add_stop-008#f178c37040f5
change_terminal-004-BOASHAS#708035f204d1,95a0dacc9b5a79b8e7ff8a781f0b6b125f518f7c8b3d9e508b79ed8a2e64a363,1,change_terminal-004-BOASHAS#708035f204d1,2.0,20260825,60000/2/32,414.6,2958099.946773637,1786769.5736556302,9761.08644265006,21187.913557349948,84.32966128634273,2514.902349913158,primary,1.0989,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.1765409182989,change_terminal-004-BOASHAS#708035f204d1
change_terminal-007-EMO4THW#16606ceb331e,deb495e54ae278831d687c006a4f58eca1d37e23ac7a2db545651e2f85a49acb,1,change_terminal-007-EMO4THW#16606ceb331e,2.0,20260825,60000/2/32,403.81,2956213.424951334,1786680.288533302,9746.109470150266,21202.890529849738,84.26588280583667,2510.565845595859,primary,1.7192,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",175.91281333448256,change_terminal-007-EMO4THW#16606ceb331e
splice-011-034-WESHIGW#2c53c24a4f24,a6d5b1b5fecf5be2c1f8cc3361cd41751a3f04e0c40cc6b6092e60ed415a226d,1,splice-011-034-WESHIGW#2c53c24a4f24,2.0,20260825,60000/2/32,412.95,2958423.9777780445,1787768.5933174898,9755.461537171288,21193.538462828714,84.35441757180152,2511.7768379621775,primary,0.0,11.808,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",175.32176157398962,splice-011-034-WESHIGW#2c53c24a4f24
split-005-EASHAMN#f16cc1038825,2dfcd0e060a0264631f3c4b49a2a2ea859fbf77dda212c3718a2efc05fe0e510,1,split-005-EASHAMN#f16cc1038825,2.0,20260825,60000/2/32,417.79,2961174.8925227756,1784274.8073018978,9807.500710173981,21141.49928982602,84.39679621778522,2514.1901360034635,primary,0.0,14.264,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.233474537037,split-005-EASHAMN#f16cc1038825
add_stop-007#02161399a599,bde092575bb707b94bed9d15435e5bf0dbf68e333b4d20907c3474c3b7507114,1,add_stop-007#02161399a599,2.0,20260825,60000/2/32,414.12,2955344.0555114225,1786691.8065294323,9738.768741516587,21210.23125848342,84.23726194945715,2511.642641366615,secondary,3.3803,0.101,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.007891528729,add_stop-007#02161399a599
add_stop-010#22c4c35ac5b2,bad2ed9cbe5026a7c68c9e4609c7101b1c5d3123d5732636db0ef057d66e7a7d,1,add_stop-010#22c4c35ac5b2,2.0,20260825,60000/2/32,412.18,2950538.0418019183,1784617.903256458,9716.001154545502,21232.998845454502,84.0492629536644,2515.6695578552644,secondary,2.3599,0.135,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.36325546467106,add_stop-010#22c4c35ac5b2
change_terminal-101-EMO4THW#56a30c84c920,bd664118fabb3ecaeaf167bedc0a3baa59177abc9019a5a11092987e150c71dc,1,change_terminal-101-EMO4THW#56a30c84c920,2.0,20260825,60000/2/32,408.82,2956428.236690581,1786686.0694294795,9747.851393842513,21201.148606157487,84.27307890811959,2512.2552734707187,secondary,2.8571,0.0,same_route,"NOT RUN — needs the block-derived peak (blocks.py), not the frequency model's peak concurrency. Deferred to Stage B/C, where blocks are reconstructed.",176.0244257994674,change_terminal-101-EMO4THW#56a30c84c920
