variant,gc_change_pct,unserved_change_pct
baseline assumptions,0.45823334445362907,-40.503207972670616
wait weight 1.5x,-0.12610003747337561,-40.687105929332034
wait weight 0.67x,0.9620071347643755,-40.491735475004006
transfer penalty 0,0.1866228114124846,-40.285636788979104
retention floor 0.10,3.69123683561865,-39.859001986661035
retention floor 0.50,-4.635792111974856,-41.27138148745154
no crowding penalty,0.45823334445362907,-40.503207972670616
layover 25%,0.45823334445362907,-40.503207972670616
demand scale 20k trips,0.45823334445362907,-40.503207972670616
demand scale 60k trips,-0.09570345077948295,-40.43490644116847
demand scale 80k trips,-1.5897429902161364,-39.01208436799431
jobs weighted 2x residents,0.2738845610288809,-39.79342025369008
catchment 400 m,0.27083614488572216,-37.09803939341887
