key,kind,route_id,with_route,description,ev_end,ev_n_stops,ev_runtime_share,ev_exclusive_demand_share,ev_seconds_per_trip,ev_circuity,ev_seconds_removed,ev_donor_route,ev_donor_daily_trips,ev_zone_flow_reached,ev_junction_demand_weight,ev_shared_terminal_stops,ev_current_weight,ev_alternative_weight,ev_direct_m,ev_n_replaced,ev_n_new
truncate|035|d3:STE418N,truncate,035,,"truncate route 035 at its end terminal, dropping 3 stops: 31.6% of running time for 0.0% of the demand it uniquely reaches",end,3.0,0.3162878787878788,0.0,835.0,,,,,,,,,,,,
truncate|102|d15:HIGHUDS,truncate,102,,"truncate route 102 at its end terminal, dropping 15 stops: 34.7% of running time for 7.2% of the demand it uniquely reaches",end,15.0,0.34662447257383966,0.07160191925294997,1643.0,,,,,,,,,,,,
truncate|031|d15:MOC2315E,truncate,031,,"truncate route 031 at its end terminal, dropping 15 stops: 27.5% of running time for 1.5% of the demand it uniquely reaches",end,15.0,0.275,0.015184503098022141,1056.0,,,,,,,,,,,,
truncate|101|d11:EMO4THW,truncate,101,,"truncate route 101 at its start terminal, dropping 11 stops: 31.0% of running time for 11.7% of the demand it uniquely reaches",start,11.0,0.3103448275862069,0.11654204959635935,1080.0,,,,,,,,,,,,
truncate|033|d15:HIGSCHN,truncate,033,,"truncate route 033 at its end terminal, dropping 15 stops: 27.5% of running time for 9.6% of the demand it uniquely reaches",end,15.0,0.27472527472527475,0.09643073325304541,750.0,,,,,,,,,,,,
truncate|025|d15:SCAALSE,truncate,025,,"truncate route 025 at its end terminal, dropping 15 stops: 29.0% of running time for 11.7% of the demand it uniquely reaches",end,15.0,0.28976377952755905,0.1166030442165328,1104.0,,,,,,,,,,,,
truncate|007|d5:FROBROS,truncate,007,,"truncate route 007 at its end terminal, dropping 5 stops: 19.4% of running time for 2.1% of the demand it uniquely reaches",end,5.0,0.1935483870967742,0.020506188231374272,720.0,,,,,,,,,,,,
truncate|007|d3:INTSAWW,truncate,007,,"truncate route 007 at its start terminal, dropping 3 stops: 15.9% of running time for 0.0% of the demand it uniquely reaches",start,3.0,0.1586021505376344,0.0,590.0,,,,,,,,,,,,
truncate|009|d14:AGLBRIE,truncate,009,,"truncate route 009 at its end terminal, dropping 14 stops: 14.8% of running time for 0.0% of the demand it uniquely reaches",end,14.0,0.14756944444444445,0.0,850.0,,,,,,,,,,,,
truncate|023|d8:EASMORE,truncate,023,,"truncate route 023 at its end terminal, dropping 8 stops: 14.0% of running time for 0.0% of the demand it uniquely reaches",end,8.0,0.14042553191489363,0.0,396.0,,,,,,,,,,,,
truncate|012|d3:MCKTRAW,truncate,012,,"truncate route 012 at its start terminal, dropping 3 stops: 18.0% of running time for 4.0% of the demand it uniquely reaches",start,3.0,0.1798611111111111,0.03961079290594162,259.0,,,,,,,,,,,,
truncate|032|d7:EASTER6,truncate,032,,"truncate route 032 at its start terminal, dropping 7 stops: 12.9% of running time for 0.0% of the demand it uniquely reaches",start,7.0,0.12903225806451613,0.0,480.0,,,,,,,,,,,,
straighten|033|d8:HIG522N,straighten,033,,"straighten route 033 between HIGFITN and WESHIGW, removing a 8-stop deviation that runs 6.00x the direct distance for 6.7% of the demand it uniquely reaches",,8.0,,0.06712521715936516,,6.003714367863028,425.0,,,,,,,,,,
straighten|007|d8:ALLOPPE,straighten,007,,"straighten route 007 between GOUALLN and 5THRARW, removing a 8-stop deviation that runs 5.76x the direct distance for 7.9% of the demand it uniquely reaches",,8.0,,0.07873391554572959,,5.764245826923003,449.0,,,,,,,,,,
straighten|025|d5:CHANCHAW,straighten,025,,"straighten route 025 between CHANMEIW and BRISCAS, removing a 5-stop deviation that runs 5.10x the direct distance for 9.1% of the demand it uniquely reaches",,5.0,,0.0908177609666944,,5.0961034701922765,254.0,,,,,,,,,,
straighten|034|d10:MOR415S,straighten,034,,"straighten route 034 between MORMORS and STELSAMS, removing a 10-stop deviation that runs 4.26x the direct distance for 0.0% of the demand it uniquely reaches",,10.0,,0.0,,4.257995578441227,690.0,,,,,,,,,,
straighten|004|d5:FAISOUS,straighten,004,,"straighten route 004 between FAIWATS and WEIWATN, removing a 5-stop deviation that runs 4.39x the direct distance for 4.2% of the demand it uniquely reaches",,5.0,,0.041944043643259855,,4.394006923326242,263.0,,,,,,,,,,
straighten|001|d4:BETPICW,straighten,001,,"straighten route 001 between BETCOAW and PICBETS, removing a 4-stop deviation that runs 3.90x the direct distance for 1.7% of the demand it uniquely reaches",,4.0,,0.016815009850588508,,3.897302933836451,288.0,,,,,,,,,,
straighten|011|d10:RICGRAW,straighten,011,,"straighten route 011 between GRATOWS and LONCLEE, removing a 10-stop deviation that runs 4.17x the direct distance for 8.8% of the demand it uniquely reaches",,10.0,,0.08759703377720765,,4.170563067770235,727.0,,,,,,,,,,
straighten|031|d6:KINSTAW,straighten,031,,"straighten route 031 between GRAKINGN and KINKENE1, removing a 6-stop deviation that runs 3.59x the direct distance for 9.0% of the demand it uniquely reaches",,6.0,,0.08960534673479251,,3.5910989027098563,445.0,,,,,,,,,,
straighten|024|d4:HAMCHEN,straighten,024,,"straighten route 024 between HAMSTON and MORKOHW, removing a 4-stop deviation that runs 3.29x the direct distance for 5.8% of the demand it uniquely reaches",,4.0,,0.05761193494261668,,3.2924620187851046,247.0,,,,,,,,,,
straighten|002|d5:HANMAIN,straighten,002,,"straighten route 002 between MAIOAKE1 and MAIWAGW, removing a 5-stop deviation that runs 3.01x the direct distance for 5.1% of the demand it uniquely reaches",,5.0,,0.05093045479620948,,3.0056523493670593,340.0,,,,,,,,,,
