network,treatment,lambda,seconds,incumbent_scale,claimed_gc,claimed_unserved,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,n_route_periods_moved
control,route_level,1.0,3.171349287033081,1.0,1683746.1454917775,3863.4971187978554,1826853.4260032703,9889.297752664099,21059.702247335907,86.74640337017922,2289.994679610629,3.177030168541739,-5.12665633107765,2.603548090057628,0.558930065440566,-9.025510804644243,-60.93254328643245,123
control,route_level,2.0,3.636725664138794,1.0,1692111.2492683763,3607.731644211025,1824973.4695929787,9811.042188127274,21137.95781187273,86.33631904440318,2313.1371306424717,3.0708539879575225,-5.87740398313491,2.98481172260896,0.08354849992862068,-8.106131960625106,-63.22784496251701,125
control,route_level,4.0,3.28642201423645,1.0,1694523.896005911,3476.7548040112706,1827581.4461356625,9714.621884020495,21234.37811597951,86.06710477479687,2340.4354195095625,3.2181472905253417,-6.802415735938105,3.4545745517833293,-0.2285324378185405,-7.021654381833031,-64.21111551721681,130
control,path_level,1.0,22.068744659423828,1.0,1754873.170147778,10224.971731325042,1754873.170147778,10224.971731325042,20724.02826867496,84.67818840028923,2500.575074683883,-0.888270815231984,-1.906355604503307,0.9681336474590241,-1.8386043156674026,-0.6597953525878886,0.0,92
control,path_level,2.0,26.719252109527588,1.0,1785263.3794816681,9812.327818373697,1785263.3794816681,9812.327818373697,21136.672181626305,84.46284089288012,2507.763673330894,0.8281074670317246,-5.865070241826819,2.978548090613331,-2.0882413507028352,-0.37421430047231974,0.0,99
control,path_level,4.0,28.989391565322876,1.0,1790686.3287777524,9777.087995438938,1790686.3287777524,9777.087995438938,21171.912004561065,84.5783946387074,2512.15565711329,1.1343848044252702,-6.203144786222115,3.150237643708942,-1.9542881192834538,-0.1997342090051646,0.0,99
splice|001|021|PICBETS,route_level,1.0,12.418506622314453,1.0,1675114.4314413792,2965.999639504239,1798003.2667362718,10219.80297572988,20729.197024270125,86.73771900721174,2439.4414607243834,1.452502641856812,-2.0440999794611114,1.0394958238917784,0.40875779772779897,-3.088446978790449,-70.9779176120329,130
splice|001|021|PICBETS,route_level,2.0,12.179067373275757,1.0,1678408.6412873042,2909.893721441228,1790948.8427460713,10318.956197329486,20630.043802670516,86.81265342317096,2442.3228693884494,1.0544561078247972,-1.0937251938814785,0.5561972422820194,0.4955028921213689,-2.9739774196641977,-71.80050321180451,133
splice|001|021|PICBETS,route_level,4.0,11.976910591125488,1.0,1680719.8794790683,2875.669191039291,1789852.2612129506,10316.924482307344,20632.075517692658,86.75095531121411,2446.2512997235467,0.9925813921643156,-1.1131990011605142,0.5661003495396111,0.4240803224370593,-2.817912889795604,-72.12668178418073,137
splice|001|021|PICBETS,path_level,1.0,152.06891250610352,1.0,1718527.226243384,10816.894553487558,1718527.226243384,10816.894553487558,20132.105446512443,85.36251863021563,2514.5534963300465,-3.031940382935372,3.678969538888377,-1.8708837680766366,-1.1831927764585526,-0.10447538597851969,0.0,112
splice|001|021|PICBETS,path_level,2.0,185.0418438911438,1.0,1783326.2641642797,9848.801678063148,1783326.2641642797,9848.801678063148,21100.198321936856,84.5170380370426,2515.4788117265384,0.6243513977756798,-5.600114328077943,2.8478526079180666,-2.1619325574243398,-0.06771543352537268,0.0,104
splice|001|021|PICBETS,path_level,4.0,188.0203857421875,1.0,1788126.518027698,9820.703847855304,1788126.518027698,9820.703847855304,21128.2961521447,84.63183709426508,2513.0665082300998,0.8952061713846327,-5.869429524581237,2.984808737700706,-2.0290396146078304,-0.1635488781733696,0.0,100
splice|002|011|HIGFITN,route_level,1.0,12.848956823348999,1.0,1671894.4962679422,2976.067351509332,1824833.5728115356,9734.632805218385,21214.367194781615,86.01876059071961,2436.0913176052445,3.0311656668105424,-7.361398079509362,3.7843353308609995,-0.7257064966975757,-3.221537925118245,-69.42804714817831,131
splice|002|011|HIGFITN,route_level,2.0,12.425951719284058,1.0,1680363.7545985002,2833.451122629926,1824817.6045535498,9724.914647094987,21224.08535290502,85.97862165606963,2442.2438965928463,3.0302640896703315,-7.453879901865445,3.8318782329054946,-0.7720308607314985,-2.9771147674512055,-70.86400009200769,137
splice|002|011|HIGFITN,route_level,4.0,12.300679922103882,1.0,1683877.3655629572,2793.7509111970894,1824015.0469150017,9752.292851976732,21196.70714802327,86.05181145247379,2446.4116830315934,2.9849512182685833,-7.193338115227332,3.6979393428073104,-0.687562481045767,-2.8115413511824783,-71.3528812803154,137
splice|002|011|HIGFITN,path_level,1.0,130.29150438308716,1.0,1739156.0368222047,10469.89573273587,1739156.0368222047,10469.89573273587,20479.104267264138,84.92344265282378,2514.6739649914357,-1.8062378838268667,-0.36434631473468704,0.1873025499541381,-1.9898134624265595,-0.09968953427698102,0.0,104
splice|002|011|HIGFITN,path_level,2.0,140.9857189655304,1.0,1783094.6435950012,9843.874436293212,1783094.6435950012,9843.874436293212,21105.125563706795,84.48633192030286,2514.1372334948096,0.6745614290671664,-6.321811669135369,3.249906471048103,-2.4942831717751357,-0.1210122361047894,0.0,105
