config,band,n,mean_headway_change,veh_hours_change
A path,<=15,29,5.948486980999297,-202.76162585034015
A path,16-30,49,3.4106466054183806,-10.839868555288362
A path,31-60,40,-11.423901098909433,169.3278388278832
A path,61-120,31,-4.580645161284038,9.268333333202365
A path,>120,24,-11.666666666666666,6.3
B path+class,<=15,29,5.693314567206193,-199.49369217687075
B path+class,16-30,49,3.6981749500918495,-8.05344498050923
B path+class,31-60,40,-11.898901098909432,180.53728327232764
B path+class,61-120,31,-2.967741935477587,10.69888888875792
B path+class,>120,24,0.0,0.0
C path+class+crowd,<=15,29,5.831245601688951,-201.8270255102041
C path+class+crowd,16-30,49,2.908087486540829,-2.0868224056085083
C path+class+crowd,31-60,40,-11.998901098909432,181.27283882788322
C path+class+crowd,61-120,31,-1.3548387096711354,5.8099999998690315
C path+class+crowd,>120,24,0.0,0.0
