route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_veh_hours,optimized_veh_hours,veh_hours_change,runtime_min,direction
022,midday,22.5,60.0,37.5,35.71666666666667,13.39375,-22.322916666666668,66.96875,less service
010,am_peak,14.4,30.0,15.6,32.95,15.816,-17.134,79.08,less service
010,midday,15.0,20.0,5.0,66.63333333333334,49.975,-16.65833333333334,83.29166666666667,less service
008,pm_peak,15.0,24.0,9.0,39.53333333333333,24.708333333333332,-14.825,98.83333333333333,less service
022,pm_peak,15.652173913043478,40.0,24.347826086956523,23.6,9.234782608695651,-14.36521739130435,61.56521739130435,less service
034,midday,15.0,24.0,9.0,37.85,23.65625,-14.193750000000001,47.3125,less service
006,midday,14.693877551020408,24.0,9.306122448979592,34.46666666666667,21.102040816326532,-13.364625850340136,42.204081632653065,less service
010,pm_peak,15.0,24.0,9.0,34.45,21.53125,-12.918750000000003,86.125,less service
101,evening,15.483870967741936,30.0,14.516129032258064,26.016666666666666,13.427956989247312,-12.588709677419354,50.354838709677416,less service
007,midday,15.0,20.0,5.0,46.666666666666664,35.0,-11.666666666666664,58.333333333333336,less service
034,evening,15.0,30.0,15.0,23.2,11.6,-11.6,43.5,less service
101,midday,15.0,20.0,5.0,41.43333333333333,31.075,-10.35833333333333,51.791666666666664,less service
007,pm_peak,15.0,24.0,9.0,26.25,16.40625,-9.84375,65.625,less service
022,am_peak,21.176470588235293,45.0,23.823529411764707,18.383333333333333,8.650980392156862,-9.73235294117647,64.88235294117646,less service
023,midday,15.0,20.0,5.0,36.45,27.3375,-9.112500000000004,45.5625,less service
008,am_peak,15.0,20.0,5.0,36.43333333333333,27.325,-9.10833333333333,91.08333333333333,less service
034,am_peak,15.0,30.0,15.0,16.933333333333334,8.466666666666667,-8.466666666666667,42.333333333333336,less service
022,evening,26.666666666666668,45.0,18.333333333333332,20.733333333333334,12.28641975308642,-8.446913580246914,69.11111111111111,less service
012,midday,20.0,60.0,40.0,12.633333333333333,4.211111111111111,-8.42222222222222,21.055555555555557,less service
006,am_peak,14.4,30.0,15.6,16.066666666666666,7.712000000000001,-8.354666666666667,38.56,less service
101,pm_peak,15.0,24.0,9.0,21.233333333333334,13.270833333333334,-7.9625,53.083333333333336,less service
034,pm_peak,15.0,24.0,9.0,20.833333333333332,13.020833333333334,-7.812499999999998,52.083333333333336,less service
101,am_peak,15.0,24.0,9.0,19.433333333333334,12.145833333333334,-7.2875,48.583333333333336,less service
006,pm_peak,15.0,24.0,9.0,17.016666666666666,10.635416666666666,-6.38125,42.541666666666664,less service
007,am_peak,15.0,20.0,5.0,22.85,17.1375,-5.712500000000002,57.125,less service
006,evening,20.0,30.0,10.0,15.816666666666666,10.544444444444444,-5.272222222222222,39.541666666666664,less service
024,evening,30.0,40.0,10.0,18.65,13.9875,-4.662499999999998,69.9375,less service
022,early,24.0,45.0,21.0,8.983333333333333,4.79111111111111,-4.192222222222222,53.9,less service
034,owl,40.0,60.0,20.0,12.3,8.2,-4.100000000000001,41.0,less service
101,early,24.0,45.0,21.0,8.316666666666666,4.435555555555555,-3.881111111111111,49.9,less service
033,evening,30.0,40.0,10.0,11.116666666666667,8.3375,-2.779166666666667,41.6875,less service
012,pm_peak,20.0,30.0,10.0,6.483333333333333,4.322222222222222,-2.1611111111111114,21.61111111111111,less service
012,evening,34.285714285714285,60.0,25.714285714285715,4.483333333333333,2.561904761904762,-1.9214285714285713,19.214285714285715,less service
