route_id,name,class,total_trips,am_peak,early,evening,midday,owl,pm_peak
001,1 KENNY/LIVINGSTON,all_day,149,24,11,31,48,11,24
002,2 E MAIN/N HIGH,all_day,150,24,10,32,50,11,23
003,3 NORTHWEST/HARRISBURG,all_day,79,14,6,16,25,6,12
004,4 INDIANOLA/LOCKBOURNE,all_day,75,12,5,16,24,6,12
005,5 W 5TH AVE/REFUGEE,all_day,74,12,4,17,24,5,12
006,6 SULLIVANT,all_day,134,25,4,24,49,8,24
007,7 MT VERNON,all_day,138,24,10,25,48,7,24
008,8 KARL/S HIGH/PARSONS,all_day,144,24,9,30,48,9,24
009,9 W MOUND/BRENTNELL,all_day,38,6,4,6,12,4,6
010,10 E BROAD/W BROAD,all_day,143,25,11,27,48,8,24
011,11 BRYDEN/MAIZE,all_day,38,6,3,7,12,4,6
012,12 MCKINLEY/FIELDS,all_day,82,14,0,14,36,0,18
021,21 HILLIARD ROME,all_day,38,7,2,8,12,3,6
022,22 OSU-RICKENBACKER,all_day,107,17,10,18,32,7,23
023,23 JAMES-STELZER,all_day,146,24,4,32,48,14,24
024,24 HAMILTON RD,all_day,76,12,4,16,24,8,12
025,25 BRICE,all_day,43,7,3,8,13,6,6
031,31 HUDSON,all_day,78,12,6,16,24,8,12
032,32 N BROADWAY,all_day,40,6,3,8,12,5,6
033,33 HENDERSON,all_day,78,12,4,16,24,10,12
034,34 MORSE,all_day,154,24,8,32,48,18,24
035,35 DUBLIN-GRANVILLE,all_day,36,6,4,9,12,0,5
101,CMAX CMAX,all_day,149,24,10,31,48,12,24
102,102 POLARIS PKWY/N HIGH,all_day,74,12,5,15,24,6,12
141,ZOO COLUMBUS ZOO,all_day,10,1,0,1,5,0,3
041,41 CROSSWOODS-POLARIS,peak_express,2,1,0,0,0,0,1
042,42 SHARON WOODS,peak_express,2,1,0,0,0,0,1
043,43 WESTERVILLE,peak_express,4,2,0,0,0,0,2
044,44 EASTON,peak_express,2,1,0,0,0,0,1
045,45 NEW ALBANY,peak_express,6,3,0,0,0,0,3
046,46 GAHANNA,peak_express,2,1,0,0,0,0,1
051,51 REYNOLDSBURG,peak_express,10,6,0,0,0,0,4
052,52 CANAL WINCHESTER,peak_express,6,3,0,0,0,0,3
061,61 GROVE CITY,peak_express,4,2,0,0,0,0,2
071,71 HILLIARD,peak_express,4,2,0,0,0,0,2
072,72 TUTTLE,peak_express,4,2,0,0,0,0,2
073,73 DUBLIN,peak_express,8,4,0,0,0,0,4
074,74 SMOKY ROW,peak_express,2,1,0,0,0,0,1
075,75 ARLINGTON/1ST AVE,peak_express,2,1,0,0,0,0,1
