route_id,period,baseline_headway_min,optimized_headway_min,headway_change_min,baseline_veh_hours,optimized_veh_hours,veh_hours_change,runtime_min,direction
022,midday,22.5,60.0,37.5,35.71666666666667,13.39375,-22.322916666666668,66.96875,less service
023,midday,15.0,30.0,15.0,36.45,18.225,-18.225,45.5625,less service
022,pm_peak,15.652173913043478,60.0,44.34782608695652,23.6,6.156521739130436,-17.443478260869565,61.56521739130435,less service
034,midday,15.0,24.0,9.0,37.85,23.65625,-14.193750000000001,47.3125,less service
034,pm_peak,15.0,40.0,25.0,20.833333333333332,7.8125,-13.020833333333332,52.083333333333336,less service
034,am_peak,15.0,40.0,25.0,16.933333333333334,6.35,-10.583333333333334,42.333333333333336,less service
006,am_peak,14.4,24.0,9.6,16.066666666666666,9.640000000000002,-6.426666666666664,38.56,less service
006,pm_peak,15.0,24.0,9.0,17.016666666666666,10.635416666666666,-6.38125,42.541666666666664,less service
033,pm_peak,30.0,60.0,30.0,9.466666666666667,4.733333333333333,-4.733333333333333,47.333333333333336,less service
033,midday,30.0,40.0,10.0,17.216666666666665,12.9125,-4.304166666666665,43.041666666666664,less service
007,early,24.0,40.0,16.0,8.916666666666666,5.35,-3.5666666666666664,53.5,less service
006,evening,20.0,24.0,4.0,15.816666666666666,13.180555555555554,-2.636111111111113,39.541666666666664,less service
022,evening,26.666666666666668,30.0,3.333333333333332,20.733333333333334,18.42962962962963,-2.303703703703704,69.11111111111111,less service
033,am_peak,30.0,40.0,10.0,8.683333333333334,6.5125,-2.1708333333333334,43.416666666666664,less service
022,am_peak,21.176470588235293,24.0,2.8235294117647065,18.383333333333333,16.220588235294116,-2.162745098039217,64.88235294117646,less service
012,midday,20.0,24.0,4.0,12.633333333333333,10.527777777777779,-2.1055555555555543,21.055555555555557,less service
022,early,24.0,30.0,6.0,8.983333333333333,7.1866666666666665,-1.796666666666666,53.9,less service
034,owl,40.0,45.0,5.0,12.3,10.933333333333334,-1.3666666666666671,41.0,less service
023,owl,51.42857142857143,60.0,8.57142857142857,9.1,7.8,-1.2999999999999998,39.0,less service
010,early,21.818181818181817,24.0,2.1818181818181834,13.283333333333333,12.075757575757574,-1.2075757575757589,72.45454545454545,less service
001,evening,15.483870967741936,15.483870968,2.580637925575502e-10,43.233333333333334,43.23333333261277,-7.205613883343176e-10,83.6774193548387,unchanged
010,evening,17.77777777777778,17.777777778,2.2222224060897133e-10,34.983333333333334,34.98333333289604,-4.3729642129619606e-10,77.74074074074075,unchanged
101,evening,15.483870967741936,15.483870968,2.580637925575502e-10,26.016666666666666,26.016666666233053,-4.3361225721127994e-10,50.354838709677416,unchanged
005,evening,28.235294117647058,28.235294118,3.5294078770675696e-10,26.666666666666668,26.666666666333338,-3.333298081997782e-10,94.11764705882354,unchanged
