route_id,n_pairs,median_m,q25_m,q75_m,basis,pairs_under_150m,pairs_under_200m,pairs_under_300m,pairs_under_400m
006,95,259.7058291515533,218.2699375492702,341.04267923105726,straight_line,6,16,58,80
075,97,263.40604697944036,214.81013516411477,338.1745511334214,straight_line,3,16,60,85
002,375,275.7958854142203,227.1508833503476,344.0650232068346,straight_line,10,46,216,325
012,48,276.99788860493163,194.48289639972765,359.2845195894756,straight_line,5,13,27,39
044,17,281.8874662425369,207.70624946057768,354.8184447382697,straight_line,3,4,9,13
011,183,285.97869576181074,230.46464954177446,382.2283485768827,straight_line,6,26,101,146
008,406,287.09046726098256,223.6253261976515,363.9140731395014,straight_line,9,56,219,351
010,670,289.4747447941043,229.99345574186006,395.96714508165695,straight_line,24,80,364,508
003,191,296.33527754463415,226.45821073447271,370.4777516278659,straight_line,11,35,99,150
005,418,299.4897693517685,230.86686835079465,408.98021047751485,straight_line,12,54,209,302
007,349,299.58558381852936,221.36924715940285,407.24869330800544,straight_line,18,54,176,254
001,354,304.9546882134662,235.824977460728,403.741780929907,straight_line,4,36,165,263
004,268,305.9796645200044,237.98475963868077,395.9615875269524,straight_line,11,29,126,202
041,19,307.7079855261412,264.10688424065904,417.51175283346527,straight_line,1,1,9,14
141,13,308.06077485788353,245.59068476078934,8464.428133392114,straight_line,0,2,6,7
031,128,316.5420626964425,238.71375748980978,411.18981229570244,straight_line,6,22,54,93
046,18,319.71138377250514,269.2406597355738,354.48102399272653,straight_line,1,1,8,14
023,111,325.49513066099075,233.5705205480994,435.4931497663414,straight_line,4,12,52,75
009,220,333.7379328786453,239.4457698106188,417.55482382616304,straight_line,6,30,95,156
022,292,333.8972034532205,272.47690693807857,450.58086769016097,straight_line,6,30,108,199
034,94,338.07283235544634,240.18857979650323,417.87565277268476,straight_line,7,13,38,65
032,140,338.6523820601798,264.0592053230114,480.56606960122747,straight_line,6,17,52,89
051,20,342.45113643137097,204.58054921441422,394.3044139878233,straight_line,4,5,9,15
033,179,344.1338210672554,268.4119832624525,468.96486790970044,straight_line,11,16,72,116
045,30,353.46876175609697,263.6477975776956,780.9324905686826,straight_line,0,2,12,20
074,69,361.31980094671457,307.95758920134097,571.245696848923,straight_line,1,4,15,40
073,59,364.70414284712075,268.6448578498834,508.8561108367125,straight_line,3,7,21,33
052,13,369.9795685391741,245.9780345774098,404.42562142538014,straight_line,1,2,4,9
072,68,380.15752884037016,295.71261776578126,463.93560746106465,straight_line,1,2,19,38
042,59,380.8162126096511,269.20238147429194,423.11723179898763,straight_line,2,4,18,39
061,16,381.68628804343507,303.6069999490668,591.244359775088,straight_line,0,0,4,9
043,83,383.08753559136494,281.8874662425369,495.794415755644,straight_line,2,5,22,43
035,60,385.87987305593856,275.13825362280204,482.422815061978,straight_line,6,7,17,33
102,115,386.87465292725756,266.6076148196537,586.5665132593431,straight_line,3,6,39,61
025,130,410.11201572669825,311.4883554461145,553.9325838051703,straight_line,2,8,28,61
024,129,424.05942743114355,296.7140263765937,634.1279848434831,straight_line,6,11,33,58
071,39,425.16473021552673,317.9368941486966,559.2116416656891,straight_line,3,4,9,17
021,119,428.812292969087,321.4990100798011,556.0660999221291,straight_line,0,4,23,54
101,140,516.5503720611619,346.52368048887644,791.8402472169065,straight_line,1,6,27,41
