route_id,direction_id,pattern_more,pattern_fewer,from_stop,to_stop,n_stops_more,n_stops_fewer,n_extra_stops,extra_stops,seconds_more,seconds_fewer,seconds_difference,seconds_per_extra_stop,trips_more,trips_fewer,shared_periods,n_shared_periods
004,0,109beef39c,21bda6faf0,THIMALUW,BOASHAS,90,89,1,NORTER1,4440.0,4620.0,-180.0,-180.0,3,34,evening+owl,2
007,0,e7c4c07611,2bec5d3f57,EMO4THW,NELOPPN,29,28,1,NORTER3,1620.0,1620.0,0.0,0.0,3,32,evening,1
007,0,e7c4c07611,759a15c3bb,EMO4THW,EASTER9,57,56,1,NORTER3,2820.0,3120.0,-300.0,-300.0,3,32,evening,1
007,0,e8baacec0a,2bec5d3f57,EMO4THW,INTSAWW,61,60,1,NORTER3,3420.0,3540.0,-120.0,-120.0,2,32,,0
007,0,e8baacec0a,759a15c3bb,EMO4THW,NELOPPN,29,28,1,NORTER3,1620.0,1620.0,0.0,0.0,2,32,,0
010,0,a02223346e,699d0880db,WESRIDW,BROCARE,79,77,2,HIGLONN2+NORTER4,4067.0,4261.0,-194.0,-97.0,3,33,evening,1
010,0,a02223346e,fb8cd8123b,WESRIDW,BROLTDE,93,91,2,HIGLONN2+NORTER4,4860.0,5100.0,-240.0,-120.0,3,32,evening,1
010,0,38e29e26d5,699d0880db,WESRIDW,BROMTCS,80,78,2,HIGLONN2+NORTER4,4320.0,4440.0,-120.0,-60.0,4,33,evening,1
010,0,38e29e26d5,fb8cd8123b,WESRIDW,BROCARE,79,77,2,HIGLONN2+NORTER4,4141.0,4247.0,-106.0,-53.0,4,32,evening,1
010,1,be9fae3052,e6014d7a5c,BROLTDE,WESRIDW,91,89,2,HIGLONN2+FROLONS,4740.0,5100.0,-360.0,-180.0,3,32,evening,1
010,1,be9fae3052,d52b049186,BROCARW,WESRIDW,78,76,2,HIGLONN2+FROLONS,3968.0,4367.0,-399.0,-199.5,3,32,evening,1
010,1,7e144e9ee0,e6014d7a5c,BROCARW,WESRIDW,78,76,2,HIGLONN2+FROLONS,3873.0,4268.0,-395.0,-197.5,4,32,evening,1
010,1,7e144e9ee0,d52b049186,BROMTCS,WESRIDW,79,77,2,HIGLONN2+FROLONS,3990.0,4680.0,-690.0,-345.0,4,32,evening,1
045,0,e4e49ea4b5,cc3eda527b,SOUTER8,FORFORE,8,7,1,EASTER5,1920.0,2040.0,-120.0,-120.0,1,2,,0
045,1,c98b3a5702,080e74a683,FORFORE,SOUTER8,10,9,1,EASTER5,2520.0,1980.0,540.0,540.0,1,2,,0
