pattern_id,route_id,direction_id,seq,from_stop,to_stop,metres,run_time_sec,distance_basis,n_trips
efc18da3b0,001,0,0,RIVHOSW,OLE3440S,939.4,185.0,shape_dist_traveled,37
efc18da3b0,001,0,1,OLE3440S,OLEUNIS,235.30000000000007,46.0,shape_dist_traveled,37
efc18da3b0,001,0,2,OLEUNIS,OLERIVS1,340.6,69.0,shape_dist_traveled,37
efc18da3b0,001,0,3,OLERIVS1,OLEHARS2,416.6999999999999,62.0,shape_dist_traveled,37
efc18da3b0,001,0,4,OLEHARS2,OLE2825S,241.40000000000006,36.0,shape_dist_traveled,37
efc18da3b0,001,0,5,OLE2825S,OLEACKS,341.40000000000015,51.0,shape_dist_traveled,37
efc18da3b0,001,0,6,OLEACKS,OLEARGS,489.39999999999986,73.0,shape_dist_traveled,37
efc18da3b0,001,0,7,OLEARGS,LANOLEE,611.8000000000001,91.0,shape_dist_traveled,37
efc18da3b0,001,0,8,LANOLEE,LANTUTE,478.8000000000001,71.0,shape_dist_traveled,37
efc18da3b0,001,0,9,LANTUTE,LANNEIE,213.4999999999998,36.0,shape_dist_traveled,37
efc18da3b0,001,0,10,LANNEIE,HIGLANS,498.99999999999966,112.0,shape_dist_traveled,37
efc18da3b0,001,0,11,HIGLANS,HIG18TS,311.50000000000057,69.0,shape_dist_traveled,37
efc18da3b0,001,0,12,HIG18TS,HIG15TS,305.49999999999943,68.0,shape_dist_traveled,37
efc18da3b0,001,0,13,HIG15TS,HIG13TS,237.5000000000007,53.0,shape_dist_traveled,37
efc18da3b0,001,0,14,HIG13TS,HIGCHIS,248.79999999999924,58.0,shape_dist_traveled,37
efc18da3b0,001,0,15,HIGCHIS,HIG10TS,249.00000000000057,71.0,shape_dist_traveled,37
efc18da3b0,001,0,16,HIG10TS,NHIGMCMS,314.4999999999998,90.0,shape_dist_traveled,37
efc18da3b0,001,0,17,NHIGMCMS,HIGCLAS,223.20000000000027,64.0,shape_dist_traveled,37
efc18da3b0,001,0,18,HIGCLAS,HIG5THS,251.59999999999982,75.0,shape_dist_traveled,37
efc18da3b0,001,0,19,HIG5THS,HIG4THS,209.39999999999958,41.0,shape_dist_traveled,37
efc18da3b0,001,0,20,HIG4THS,NHIW2S,326.5000000000002,65.0,shape_dist_traveled,37
efc18da3b0,001,0,21,NHIW2S,HIGHUBS,405.19999999999976,81.0,shape_dist_traveled,37
efc18da3b0,001,0,22,HIGHUBS,HIGRUSS,365.3000000000004,73.0,shape_dist_traveled,37
efc18da3b0,001,0,23,HIGRUSS,HIGSWANS,240.00000000000023,48.0,shape_dist_traveled,37
efc18da3b0,001,0,24,HIGSWANS,HIGOHIS,329.20000000000016,65.0,shape_dist_traveled,37
efc18da3b0,001,0,25,HIGOHIS,HIGNATS,223.30000000000007,47.0,shape_dist_traveled,37
efc18da3b0,001,0,26,HIGNATS,HIGLONS,346.59999999999866,120.0,shape_dist_traveled,37
efc18da3b0,001,0,27,HIGLONS,HIGBROS,265.60000000000093,120.0,shape_dist_traveled,37
efc18da3b0,001,0,28,HIGBROS,HIGSTAS,284.6999999999991,91.0,shape_dist_traveled,37
efc18da3b0,001,0,29,HIGSTAS,HIGTOWS,247.20000000000118,79.0,shape_dist_traveled,37
efc18da3b0,001,0,30,HIGTOWS,HIGMAIS2,285.8999999999998,91.0,shape_dist_traveled,37
efc18da3b0,001,0,31,HIGMAIS2,EFULSHIE,307.8000000000003,99.0,shape_dist_traveled,37
efc18da3b0,001,0,32,EFULSHIE,LIV4THE,538.9999999999997,114.0,shape_dist_traveled,37
efc18da3b0,001,0,33,LIV4THE,LIVGRANE,364.69999999999914,77.0,shape_dist_traveled,37
efc18da3b0,001,0,34,LIVGRANE,LIVPARE,507.0000000000015,109.0,shape_dist_traveled,37
efc18da3b0,001,0,35,LIVPARE,LIVANNE,201.5999999999991,33.0,shape_dist_traveled,37
efc18da3b0,001,0,36,LIVANNE,LIV18TE,213.40000000000003,35.0,shape_dist_traveled,37
efc18da3b0,001,0,37,LIV18TE,LIVCARE,216.69999999999945,35.0,shape_dist_traveled,37
efc18da3b0,001,0,38,LIVCARE,LIV22NE,290.9000000000006,47.0,shape_dist_traveled,37
efc18da3b0,001,0,39,LIV22NE,LIVCHAE,172.49999999999943,30.0,shape_dist_traveled,37
efc18da3b0,001,0,40,LIVCHAE,LIVWILE,246.50000000000105,41.0,shape_dist_traveled,37
efc18da3b0,001,0,41,LIVWILE,LIVSTUE,291.599999999999,48.0,shape_dist_traveled,37
efc18da3b0,001,0,42,LIVSTUE,LIVKELE,429.0000000000003,71.0,shape_dist_traveled,37
efc18da3b0,001,0,43,LIVKELE,LIVBERE,197.40000000000003,32.0,shape_dist_traveled,37
efc18da3b0,001,0,44,LIVBERE,LIVBULE,430.09999999999945,71.0,shape_dist_traveled,37
efc18da3b0,001,0,45,LIVBULE,LIVRHOE,173.4000000000009,28.0,shape_dist_traveled,37
efc18da3b0,001,0,46,LIVRHOE,LIVMEME,233.70000000000067,38.0,shape_dist_traveled,37
efc18da3b0,001,0,47,LIVMEME,LIVMAYE,477.9999999999998,79.0,shape_dist_traveled,37
efc18da3b0,001,0,48,LIVMAYE,LIVCOLE,402.89999999999895,72.0,shape_dist_traveled,37
efc18da3b0,001,0,49,LIVCOLE,LIVCASE,299.7000000000014,39.0,shape_dist_traveled,37
efc18da3b0,001,0,50,LIVCASE,LIVROOE,433.19999999999936,56.0,shape_dist_traveled,37
efc18da3b0,001,0,51,LIVROOE,LIVCHEE,191.50000000000134,24.0,shape_dist_traveled,37
efc18da3b0,001,0,52,LIVCHEE,ELIVKENE,161.39999999999688,21.0,shape_dist_traveled,37
efc18da3b0,001,0,53,ELIVKENE,LIVWELE,331.900000000001,43.0,shape_dist_traveled,37
efc18da3b0,001,0,54,LIVWELE,LIVJAME,424.199999999999,57.0,shape_dist_traveled,37
efc18da3b0,001,0,55,LIVJAME,LIVZETE,390.10000000000036,65.0,shape_dist_traveled,37
efc18da3b0,001,0,56,LIVZETE,LIVBARE,346.0000000000001,57.0,shape_dist_traveled,37
efc18da3b0,001,0,57,LIVBARE,LIVCUNE,354.00000000000273,59.0,shape_dist_traveled,37
efc18da3b0,001,0,58,LIVCUNE,LIVCOUE,464.2999999999979,77.0,shape_dist_traveled,37
efc18da3b0,001,0,59,LIVCOUE,LIVBEEE,195.49999999999912,32.0,shape_dist_traveled,37
efc18da3b0,001,0,60,LIVBEEE,LIVVILE,207.6000000000029,34.0,shape_dist_traveled,37
efc18da3b0,001,0,61,LIVVILE,LIVYEAE,324.09999999999786,54.0,shape_dist_traveled,37
efc18da3b0,001,0,62,LIVYEAE,LIVBURE,380.1000000000023,63.0,shape_dist_traveled,37
efc18da3b0,001,0,63,LIVBURE,LIVGRAE,311.8999999999978,52.0,shape_dist_traveled,37
efc18da3b0,001,0,64,LIVGRAE,LIVHAME,248.899999999999,47.0,shape_dist_traveled,37
efc18da3b0,001,0,65,LIVHAME,LIVSHAE,436.0999999999997,46.0,shape_dist_traveled,37
efc18da3b0,001,0,66,LIVSHAE,LIVLATE,389.10000000000264,41.0,shape_dist_traveled,37
efc18da3b0,001,0,67,LIVLATE,LIVNOEE,1170.5000000000005,125.0,shape_dist_traveled,37
efc18da3b0,001,0,68,LIVNOEE,LIVLONE,250.69999999999837,28.0,shape_dist_traveled,37
efc18da3b0,001,0,69,LIVLONE,LIVBAIE,535.3999999999992,88.0,shape_dist_traveled,37
efc18da3b0,001,0,70,LIVBAIE,LIVQUAE,226.4000000000017,37.0,shape_dist_traveled,37
efc18da3b0,001,0,71,LIVQUAE,LIVWALE,302.5999999999982,50.0,shape_dist_traveled,37
efc18da3b0,001,0,72,LIVWALE,LIVSARE,210.80000000000254,34.0,shape_dist_traveled,37
efc18da3b0,001,0,73,LIVSARE,LIVBRIE,429.199999999998,70.0,shape_dist_traveled,37
efc18da3b0,001,0,74,LIVBRIE,EASOFFE,528.5000000000011,87.0,shape_dist_traveled,37
efc18da3b0,001,0,75,EASOFFE,REYRIDSW,308.6999999999982,54.0,shape_dist_traveled,37
b2630f86a8,001,0,0,PICBETS,2425BET,336.4,69.0,shape_dist_traveled,38
b2630f86a8,001,0,1,2425BET,BETWOOE,281.40000000000003,58.0,shape_dist_traveled,38
b2630f86a8,001,0,2,BETWOOE,BETHEDE,280.3,57.0,shape_dist_traveled,38
b2630f86a8,001,0,3,BETHEDE,BETDIEE,263.29999999999995,56.0,shape_dist_traveled,38
