period,od_index,flow,route,n_attractive_lines,own_headway_min,combined_headway_min,wait_now_min,wait_hyperpath_min,saving_min,flow_weighted_saving
am_peak,10,0.10305481349185328,010,4,28.8,4.8,10.2,2.4,15.599999999999998,1.6076550904729108
am_peak,25,0.30916444047555985,007,2,30.0,10.0,10.5,5.0,11.0,3.4008088452311585
am_peak,26,0.15458222023777993,001,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,32,0.6698562876970463,007,2,30.0,10.0,10.5,5.0,11.0,7.368419164667509
am_peak,44,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,45,0.20610962698370655,010,4,28.8,4.8,10.2,2.4,15.599999999999998,3.2153101809458215
am_peak,51,0.15458222023777993,033,2,60.0,30.0,18.0,10.5,15.0,2.318733303566699
am_peak,71,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,76,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,90,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,93,0.10305481349185328,012,2,25.714285714285715,13.846153846153847,9.428571428571429,6.461538461538462,5.934065934065934,0.6115340580835249
am_peak,94,0.10305481349185328,001,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,97,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,98,0.10305481349185328,007,5,30.0,4.615384615384615,10.5,2.3076923076923075,16.384615384615387,1.6885134825972885
am_peak,99,0.30916444047555985,010,4,28.8,4.8,10.2,2.4,15.599999999999998,4.822965271418733
am_peak,103,0.10305481349185328,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,1.5016558537384337
am_peak,108,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,110,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,115,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,115,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,116,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,127,0.2576370337296332,007,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652
am_peak,130,0.15458222023777993,001,2,30.0,15.0,10.5,6.75,7.5,1.1593666517833494
am_peak,131,0.3606918472214865,001,2,30.0,15.0,10.5,6.75,7.5,2.7051888541611486
am_peak,133,0.20610962698370655,021,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,1.9272588497177758
am_peak,135,0.10305481349185328,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,1.5016558537384337
am_peak,140,0.3606918472214865,034,2,15.0,12.0,6.75,6.0,1.5,0.5410377708322298
am_peak,140,0.3606918472214865,004,2,30.0,15.0,10.5,6.75,7.5,2.7051888541611486
am_peak,142,0.2576370337296332,007,2,30.0,10.0,10.5,5.0,11.0,2.8340073710259652
am_peak,153,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,158,0.30916444047555985,007,6,30.0,4.285714285714286,10.5,2.142857142857143,16.714285714285715,5.167462790805787
am_peak,160,0.4122192539674131,010,4,28.8,4.8,10.2,2.4,15.599999999999998,6.430620361891643
am_peak,163,0.15458222023777993,005,2,60.0,30.0,18.0,10.5,15.0,2.318733303566699
am_peak,165,0.10305481349185328,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,1.5016558537384337
am_peak,168,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,171,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,173,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,176,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,195,0.4122192539674131,007,2,30.0,10.0,10.5,5.0,11.0,4.534411793641544
am_peak,198,0.10305481349185328,001,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,199,0.2576370337296332,001,2,30.0,15.0,10.5,6.75,7.5,1.932277752972249
am_peak,202,0.15458222023777993,021,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,1.445444137288332
am_peak,203,0.10305481349185328,021,2,51.42857142857143,32.72727272727273,15.857142857142858,11.181818181818182,9.350649350649352,0.9636294248588879
am_peak,205,0.4122192539674131,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,6.006623414953735
am_peak,207,0.10305481349185328,005,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,212,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,213,0.2576370337296332,010,4,28.8,4.8,10.2,2.4,15.599999999999998,4.019137726182278
am_peak,219,0.4122192539674131,034,2,15.0,12.0,6.75,6.0,1.5,0.6183288809511196
am_peak,219,0.4122192539674131,004,2,30.0,15.0,10.5,6.75,7.5,3.0916444047555984
am_peak,222,0.721383694442973,007,2,30.0,10.0,10.5,5.0,11.0,7.935220638872703
am_peak,224,0.2576370337296332,034,2,15.0,12.0,6.75,6.0,1.5,0.3864555505944498
am_peak,225,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,229,0.20610962698370655,034,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598
am_peak,230,2.885534777771892,034,2,15.0,12.0,6.75,6.0,1.5,4.3283021666578385
am_peak,230,2.885534777771892,002,2,30.0,15.0,10.5,6.75,7.5,21.64151083328919
am_peak,231,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,233,0.30916444047555985,008,2,30.0,15.0,10.5,6.75,7.5,2.318733303566699
am_peak,237,0.10305481349185328,101,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,239,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,239,0.10305481349185328,102,3,30.0,10.0,10.5,5.0,11.0,1.133602948410386
am_peak,242,0.10305481349185328,008,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,244,0.30916444047555985,010,2,28.8,14.399999999999999,10.2,6.6,7.199999999999999,2.225983971424031
am_peak,250,0.10305481349185328,008,3,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,251,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,251,0.15458222023777993,033,2,60.0,30.0,18.0,10.5,15.0,2.318733303566699
am_peak,252,0.4122192539674131,034,2,15.0,12.0,6.75,6.0,1.5,0.6183288809511196
am_peak,254,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,254,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,256,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,256,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,257,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,257,0.15458222023777993,033,2,60.0,30.0,18.0,10.5,15.0,2.318733303566699
am_peak,258,0.30916444047555985,034,2,15.0,12.0,6.75,6.0,1.5,0.4637466607133398
am_peak,260,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,261,0.15458222023777993,034,2,15.0,12.0,6.75,6.0,1.5,0.2318733303566699
am_peak,262,0.3606918472214865,034,2,15.0,12.0,6.75,6.0,1.5,0.5410377708322298
am_peak,267,0.20610962698370655,034,2,15.0,12.0,6.75,6.0,1.5,0.3091644404755598
am_peak,273,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,273,0.10305481349185328,033,2,60.0,30.0,18.0,10.5,15.0,1.5458222023777992
am_peak,274,0.10305481349185328,001,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,277,0.10305481349185328,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,1.5016558537384337
am_peak,279,0.20610962698370655,010,4,26.742857142857144,4.8,9.685714285714287,2.4,14.571428571428573,3.0033117074768674
am_peak,283,0.10305481349185328,022,3,31.764705882352942,10.588235294117649,10.941176470588236,5.294117647058824,11.294117647058822,1.1639131876726958
am_peak,284,0.10305481349185328,001,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,288,0.10305481349185328,004,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,294,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,295,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,296,0.10305481349185328,034,2,15.0,12.0,6.75,6.0,1.5,0.1545822202377799
am_peak,297,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,298,0.10305481349185328,002,2,30.0,15.0,10.5,6.75,7.5,0.7729111011888996
am_peak,300,2.2156784900748456,002,2,30.0,15.0,10.5,6.75,7.5,16.617588675561343
