block_id,start_sec,end_sec,n_trips,run_minutes,n_routes,routes,span_hours,layover_minutes
101,16860,84840,11,948.0,1,001,18.883333333333333,185.0
102,17760,86460,11,995.0,1,001,19.083333333333332,150.0
103,18840,87300,11,1010.0,1,001,19.016666666666666,131.0
104,18660,59220,7,576.0,1,001,11.266666666666667,100.0
105,18000,85500,11,974.0,2,001+022,18.75,151.0
106,18900,86640,12,962.0,1,001,18.816666666666666,167.0
107,19560,88920,11,1015.0,1,001,19.266666666666666,141.0
108,20460,66780,8,663.0,1,001,12.866666666666667,109.0
109,20700,82800,11,892.0,1,001,17.25,143.0
110,21360,83700,10,913.0,1,001,17.316666666666666,126.0
111,22260,85320,11,914.0,1,001,17.516666666666666,137.0
112,22440,84600,11,893.0,1,001,17.266666666666666,143.0
113,39060,89100,8,732.0,1,001,13.9,102.0
151,47160,86400,7,494.0,2,001+023,10.9,160.0
171,20640,38760,3,273.0,1,001,5.033333333333333,29.0
172,39960,57660,3,263.0,1,001,4.916666666666667,32.0
181,59880,88200,5,415.0,1,001,7.866666666666666,57.0
201,17040,84720,11,959.0,1,002,18.8,169.0
202,17460,84120,11,941.0,1,002,18.516666666666666,170.0
203,18660,83640,11,931.0,1,002,18.05,152.0
204,18780,89400,12,1007.0,1,002,19.616666666666667,170.0
205,18360,84060,11,933.0,1,002,18.25,162.0
206,19260,85860,11,949.0,1,002,18.5,161.0
207,20460,85740,11,932.0,1,002,18.133333333333333,156.0
208,19980,85800,11,944.0,1,002,18.283333333333335,153.0
209,20460,86640,11,947.0,1,002,18.383333333333333,156.0
210,20880,87660,11,951.0,1,002,18.55,162.0
211,22020,87540,11,933.0,1,002,18.2,159.0
212,21780,87600,11,944.0,1,002,18.283333333333335,153.0
213,22260,88320,11,966.0,1,002,18.35,135.0
214,35100,72360,6,562.0,1,002,10.35,59.0
301,17160,86100,11,879.0,1,003,19.15,270.0
302,18420,85740,11,892.0,1,003,18.7,230.0
303,18960,87780,11,887.0,1,003,19.116666666666667,260.0
304,20160,87780,11,877.0,1,003,18.783333333333335,250.0
305,20760,88380,11,890.0,2,003+004,18.783333333333335,237.0
306,21960,89340,11,884.0,1,003,18.716666666666665,239.0
307,41700,84240,7,550.0,1,003,11.816666666666666,159.0
361,22320,34560,4,90.0,2,003+052,3.4,114.0
371,16620,40260,4,326.0,1,003,6.566666666666666,68.0
401,16860,87060,13,983.0,1,004,19.5,187.0
402,18600,83460,12,900.0,1,004,18.016666666666666,181.0
403,18660,88860,13,982.0,1,004,19.5,188.0
404,20400,63660,8,566.0,2,004+075,12.016666666666667,155.0
405,20460,84780,12,913.0,1,004,17.866666666666667,159.0
406,22260,86580,12,910.0,1,004,17.866666666666667,162.0
451,57960,85260,5,382.0,1,004,7.583333333333333,73.0
501,18780,85740,10,865.0,2,005+033,18.6,251.0
502,18360,89340,10,931.0,1,005,19.716666666666665,252.0
503,19380,88560,10,927.0,1,005,19.216666666666665,226.0
504,20100,83640,9,887.0,1,005,17.65,172.0
505,20640,83880,9,874.0,1,005,17.566666666666666,180.0
506,21840,84960,9,844.0,1,005,17.533333333333335,208.0
507,23640,87240,9,889.0,1,005,17.666666666666668,171.0
508,24180,87480,9,877.0,1,005,17.583333333333332,178.0
601,19020,61020,12,489.0,1,006,11.666666666666666,211.0
602,19920,76080,16,651.0,1,006,15.6,285.0
603,20820,60420,10,472.0,2,006+024,11.0,188.0
604,20700,85080,19,768.0,1,006,17.883333333333333,305.0
605,21660,74340,15,617.0,1,006,14.633333333333333,261.0
606,21600,74400,15,615.0,1,006,14.666666666666666,265.0
607,22560,88680,20,807.0,1,006,18.366666666666667,295.0
608,23460,72660,14,579.0,1,006,13.666666666666666,241.0
681,49320,73440,7,293.0,1,006,6.7,109.0
682,61980,86880,8,315.0,1,006,6.916666666666667,100.0
701,16740,74280,13,754.0,1,007,15.983333333333333,205.0
702,17820,88560,16,928.0,1,007,19.65,251.0
703,19140,62220,9,549.0,2,007+024,11.966666666666667,169.0
704,19260,74760,13,754.0,1,007,15.416666666666666,171.0
705,20760,75180,12,693.0,1,007,15.116666666666667,214.0
706,21360,85920,15,874.0,1,007,17.933333333333334,202.0
707,24720,85140,14,813.0,1,007,16.783333333333335,194.0
708,44400,86700,9,524.0,1,007,11.75,181.0
751,56100,83100,6,351.0,1,007,7.5,99.0
771,18300,43800,6,332.0,1,007,7.083333333333333,93.0
772,19440,41040,5,290.0,1,007,6.0,70.0
773,20100,45600,6,334.0,1,007,7.083333333333333,91.0
774,41700,63780,5,311.0,1,007,6.133333333333334,57.0
781,46140,69540,5,314.0,1,007,6.5,76.0
782,50640,76020,6,341.0,1,007,7.05,82.0
801,17880,76020,9,851.0,1,008,16.15,118.0
802,18300,87300,11,1000.0,2,008+033,19.166666666666668,150.0
803,18780,83820,10,949.0,1,008,18.066666666666666,135.0
804,19260,84780,10,945.0,1,008,18.2,147.0
805,19680,84660,10,935.0,1,008,18.05,148.0
806,19740,85200,10,949.0,1,008,18.183333333333334,142.0
807,20580,85500,10,945.0,2,008+011,18.033333333333335,137.0
808,21000,86580,10,948.0,1,008,18.216666666666665,145.0
809,21420,86100,10,949.0,1,008,17.966666666666665,129.0
810,21480,87000,10,949.0,1,008,18.2,143.0
811,22800,88380,10,949.0,1,008,18.216666666666665,144.0
812,23220,88140,10,938.0,1,008,18.033333333333335,144.0
813,23280,82500,9,863.0,1,008,16.45,124.0
814,24120,89100,10,943.0,2,008+011,18.05,140.0
815,37260,89640,8,768.0,1,008,14.55,105.0
901,17640,88740,10,994.0,1,009,19.75,191.0
902,18120,89580,10,986.0,1,009,19.85,205.0
903,21180,85980,9,891.0,1,009,18.0,189.0
904,21480,85140,9,887.0,1,009,17.683333333333334,174.0
1001,17400,86820,12,966.0,1,010,19.283333333333335,191.0
1002,16800,86700,12,952.0,1,010,19.416666666666668,213.0
1003,18240,83220,10,839.0,1,010,18.05,244.0
1004,18000,89220,13,1019.0,1,010,19.783333333333335,168.0
1005,18900,85620,11,902.0,1,010,18.533333333333335,210.0
1006,19980,64680,7,608.0,1,010,12.416666666666666,137.0
1007,19500,82020,11,848.0,1,010,17.366666666666667,194.0
1008,19800,88260,12,962.0,1,010,19.016666666666666,179.0
1009,20640,85860,11,888.0,1,010,18.116666666666667,199.0
1010,21780,85620,11,875.0,1,010,17.733333333333334,189.0
1011,21300,84660,11,887.0,1,010,17.6,169.0
1012,21540,72420,9,731.0,1,010,14.133333333333333,117.0
1013,22380,72420,8,671.0,1,010,13.9,163.0
1051,46260,75900,5,427.0,1,010,8.233333333333333,67.0
1101,17460,88200,13,1012.0,1,011,19.65,167.0
1102,21060,81000,11,851.0,1,011,16.65,148.0
1103,40920,84600,8,619.0,1,011,12.133333333333333,109.0
1171,19380,40200,4,304.0,1,011,5.783333333333333,43.0
1201,23700,66120,24,507.0,1,012,11.783333333333333,200.0
1202,24840,78420,30,622.0,1,012,14.883333333333333,271.0
1203,25920,76620,28,585.0,1,012,14.083333333333334,260.0
2101,18000,48780,6,377.0,1,021,8.55,136.0
2102,19740,50460,6,377.0,1,021,8.533333333333333,135.0
2103,21600,52380,6,378.0,1,021,8.55,135.0
2151,50340,86400,7,443.0,1,021,10.016666666666667,158.0
2152,52140,88320,7,446.0,1,021,10.05,157.0
2153,53940,84720,6,380.0,1,021,8.55,133.0
2201,18480,86760,13,960.0,1,022,18.966666666666665,178.0
2202,18120,85740,13,940.0,1,022,18.783333333333335,187.0
2203,20280,88560,13,960.0,1,022,18.966666666666665,178.0
2204,20400,89400,13,962.0,1,022,19.166666666666668,188.0
2205,19920,87600,13,944.0,1,022,18.8,184.0
2206,22080,85560,12,899.0,1,022,17.633333333333333,159.0
2251,46440,66960,6,252.0,1,022,5.7,90.0
2252,48180,68700,6,249.0,1,022,5.7,93.0
2253,49980,63600,4,170.0,1,022,3.783333333333333,57.0
2254,51780,65280,4,167.0,1,022,3.75,58.0
2261,19380,25740,2,81.0,1,022,1.7666666666666666,25.0
2262,18900,29280,3,133.0,1,022,2.8833333333333333,40.0
2263,20880,27540,2,86.0,1,022,1.85,25.0
2264,20820,27300,2,95.0,1,022,1.8,13.0
2301,20040,52560,9,404.0,1,023,9.033333333333333,138.0
2302,20520,52560,9,398.0,1,023,8.9,136.0
2303,20940,48900,8,357.0,1,023,7.766666666666667,109.0
2304,21420,48960,8,352.0,1,023,7.65,107.0
2305,21840,46260,7,313.0,1,023,6.783333333333333,94.0
2306,22320,53580,9,399.0,1,023,8.683333333333334,122.0
2307,22740,50700,8,358.0,1,023,7.766666666666667,108.0
2308,23220,50760,8,352.0,1,023,7.65,107.0
2351,51420,86640,10,449.0,1,023,9.783333333333333,138.0
2352,51660,86640,10,443.0,1,023,9.716666666666667,140.0
2353,53160,84840,9,404.0,1,023,8.8,124.0
2354,53460,84840,9,397.0,1,023,8.716666666666667,126.0
2355,54060,85740,9,396.0,1,023,8.8,132.0
2356,54240,85740,9,399.0,1,023,8.75,126.0
2357,55920,87540,9,390.0,1,023,8.783333333333333,137.0
2358,56040,87540,9,392.0,1,023,8.75,133.0
2361,48780,59520,3,127.0,2,023+051,2.9833333333333334,52.0
2362,49020,63540,4,162.0,2,023+051,4.033333333333333,80.0
2401,18180,49440,6,422.0,1,024,8.683333333333334,99.0
2402,18660,49440,6,420.0,1,024,8.55,93.0
2403,19980,51360,6,425.0,1,024,8.716666666666667,98.0
2404,20280,51300,6,424.0,1,024,8.616666666666667,93.0
2405,21780,53160,6,430.0,1,024,8.716666666666667,93.0
2406,22080,53100,6,423.0,1,024,8.616666666666667,94.0
2451,61200,86940,5,355.0,1,024,7.15,74.0
2452,61140,87240,5,352.0,1,024,7.25,83.0
2453,58200,88740,6,383.0,2,024+052,8.483333333333333,126.0
2454,58920,89040,6,389.0,2,024+045,8.366666666666667,113.0
2455,54000,85440,6,431.0,1,024,8.733333333333333,93.0
2456,54060,85140,6,436.0,1,024,8.633333333333333,82.0
2461,50460,60420,2,153.0,1,024,2.7666666666666666,13.0
2462,52140,62340,2,156.0,1,024,2.8333333333333335,14.0
2501,17700,41280,5,318.0,1,025,6.55,75.0
2502,19440,42780,5,315.0,1,025,6.483333333333333,74.0
2503,21300,39600,4,252.0,1,025,5.083333333333333,53.0
2504,40920,64140,5,310.0,2,025+045,6.45,77.0
2505,42300,61920,4,281.0,1,025,5.45,46.0
2506,44220,63420,4,280.0,1,025,5.333333333333333,40.0
2551,60000,91200,7,395.0,2,025+052,8.666666666666666,125.0
2552,59940,89760,6,374.0,1,025,8.283333333333333,123.0
2553,60240,87600,6,335.0,2,025+046,7.6,121.0
3101,17280,42540,5,308.0,1,031,7.016666666666667,113.0
3102,17220,42240,5,304.0,1,031,6.95,113.0
3103,19080,49560,6,380.0,1,031,8.466666666666667,128.0
3104,19020,44160,5,309.0,1,031,6.983333333333333,110.0
3105,20760,51360,6,383.0,1,031,8.5,127.0
3106,20760,51540,6,381.0,1,031,8.55,132.0
3107,43920,64140,4,251.0,2,031+073,5.616666666666666,86.0
3151,43800,65460,4,260.0,2,031+074,6.016666666666667,101.0
3152,45720,66000,5,269.0,2,031+061,5.633333333333334,69.0
3153,51120,87300,7,475.0,1,031,10.05,128.0
3154,52800,89040,7,474.0,1,031,10.066666666666666,130.0
3155,52620,88920,7,465.0,1,031,10.083333333333334,140.0
3156,59820,85500,5,329.0,1,031,7.133333333333334,99.0
3157,59580,85320,5,341.0,1,031,7.15,88.0
3158,61560,87120,5,330.0,1,031,7.1,96.0
3201,17580,42780,5,310.0,1,032,7.0,110.0
3202,19140,44400,5,313.0,1,032,7.016666666666667,108.0
3203,21120,51600,6,378.0,1,032,8.466666666666667,130.0
3204,44100,64320,4,257.0,1,032,5.616666666666666,80.0
3251,46200,66000,4,257.0,1,032,5.5,73.0
3252,53280,89400,7,429.0,1,032,10.033333333333333,173.0
3253,61740,87300,5,285.0,2,032+072,7.1,141.0
3254,61920,90900,6,344.0,2,032+071,8.05,139.0
3301,20340,51720,9,379.0,1,033,8.716666666666667,144.0
3302,20580,40800,6,244.0,1,033,5.616666666666666,93.0
3303,21900,53520,9,404.0,1,033,8.783333333333333,123.0
3304,22380,42660,6,266.0,1,033,5.633333333333334,72.0
3305,42000,59220,5,205.0,2,033+073,4.783333333333333,82.0
3306,43800,64980,6,247.0,2,033+073,5.883333333333334,106.0
3351,52800,87540,10,423.0,1,033,9.65,156.0
3352,54540,89340,10,436.0,1,033,9.666666666666666,144.0
3353,56340,87540,9,378.0,1,033,8.666666666666666,142.0
3354,58140,89400,9,386.0,1,033,8.683333333333334,135.0
3401,18240,39000,6,253.0,1,034,5.766666666666667,93.0
3402,18840,39000,6,251.0,1,034,5.6,85.0
3403,19140,39900,6,255.0,1,034,5.766666666666667,91.0
3404,19740,39900,6,251.0,1,034,5.6,85.0
3405,20040,40800,6,256.0,1,034,5.766666666666667,90.0
3406,20640,40800,6,253.0,1,034,5.6,83.0
3407,20940,41700,6,258.0,1,034,5.766666666666667,88.0
3408,21540,52560,9,402.0,1,034,8.616666666666667,115.0
3409,39720,64620,7,348.0,1,034,6.916666666666667,67.0
3410,39960,64380,7,345.0,1,034,6.783333333333333,62.0
