route_id,period,headway_min
001,am_peak,12.0
001,early,21.818181818
001,evening,12.0
001,midday,12.0
001,owl,65.454545455
001,pm_peak,12.0
002,am_peak,24.0
002,early,60.0
002,evening,30.0
002,midday,60.0
002,owl,65.454545455
002,pm_peak,60.0
003,am_peak,20.0
003,early,30.0
003,evening,20.0
003,midday,24.0
003,owl,120.0
003,pm_peak,20.0
004,am_peak,24.0
004,early,30.0
004,evening,20.0
004,midday,24.0
004,owl,120.0
004,pm_peak,20.0
005,am_peak,15.0
005,early,60.0
005,evening,15.0
005,midday,12.0
005,owl,144.0
005,pm_peak,12.0
006,am_peak,24.0
006,early,60.0
006,evening,30.0
006,midday,30.0
006,owl,90.0
006,pm_peak,30.0
007,am_peak,60.0
007,early,60.0
007,evening,60.0
007,midday,20.0
007,owl,102.857142857
007,pm_peak,60.0
008,am_peak,20.0
008,early,26.666666667
008,evening,24.0
008,midday,24.0
008,owl,80.0
008,pm_peak,24.0
009,am_peak,40.0
009,early,60.0
009,evening,40.0
009,midday,40.0
009,owl,180.0
009,pm_peak,30.0
010,am_peak,20.0
010,early,60.0
010,evening,60.0
010,midday,24.0
010,owl,90.0
010,pm_peak,20.0
011,am_peak,20.0
011,early,24.0
011,evening,20.0
011,midday,20.0
011,owl,180.0
011,pm_peak,20.0
012,am_peak,60.0
012,evening,60.0
012,midday,40.0
012,pm_peak,24.0
021,am_peak,40.0
021,early,120.0
021,evening,45.0
021,midday,40.0
021,owl,240.0
021,pm_peak,30.0
022,am_peak,60.0
022,early,60.0
022,evening,60.0
022,midday,60.0
022,owl,102.857142857
022,pm_peak,60.0
023,am_peak,20.0
023,early,60.0
023,evening,24.0
023,midday,20.0
023,owl,60.0
023,pm_peak,24.0
024,am_peak,30.0
024,early,60.0
024,evening,30.0
024,midday,30.0
024,owl,90.0
024,pm_peak,30.0
025,am_peak,24.0
025,early,80.0
025,evening,30.0
025,midday,30.0
025,owl,120.0
025,pm_peak,30.0
031,am_peak,20.0
031,early,20.0
031,evening,20.0
031,midday,20.0
031,owl,90.0
031,pm_peak,20.0
032,am_peak,20.0
032,early,30.0
032,evening,24.0
032,midday,24.0
032,owl,144.0
032,pm_peak,20.0
033,am_peak,60.0
033,early,60.0
033,evening,60.0
033,midday,60.0
033,owl,72.0
033,pm_peak,60.0
034,am_peak,40.0
034,early,45.0
034,evening,40.0
034,midday,40.0
034,owl,60.0
034,pm_peak,40.0
035,am_peak,40.0
035,early,60.0
035,evening,40.0
035,midday,30.0
035,pm_peak,30.0
041,am_peak,180.0
041,pm_peak,180.0
042,am_peak,180.0
042,pm_peak,180.0
043,am_peak,180.0
043,pm_peak,180.0
044,am_peak,180.0
044,pm_peak,180.0
045,am_peak,120.0
045,pm_peak,120.0
046,am_peak,180.0
046,pm_peak,180.0
051,am_peak,60.0
051,pm_peak,90.0
052,am_peak,60.0
052,pm_peak,60.0
061,am_peak,180.0
061,pm_peak,180.0
071,am_peak,90.0
071,pm_peak,90.0
072,am_peak,90.0
072,pm_peak,90.0
073,am_peak,90.0
073,pm_peak,90.0
074,am_peak,180.0
074,pm_peak,180.0
075,am_peak,180.0
075,pm_peak,180.0
101,am_peak,60.0
101,early,60.0
101,evening,60.0
101,midday,20.0
101,owl,60.0
101,pm_peak,60.0
102,am_peak,15.0
102,early,20.0
102,evening,15.0
102,midday,15.0
102,owl,120.0
102,pm_peak,15.0
141,am_peak,180.0
141,evening,240.0
141,midday,144.0
141,pm_peak,120.0
