route_id,period,headway_min
001,am_peak,24.0
001,early,60.0
001,evening,15.483870968
001,midday,24.0
001,owl,65.454545455
001,pm_peak,40.0
002,am_peak,24.0
002,early,60.0
002,evening,24.0
002,midday,14.4
002,owl,65.454545455
002,pm_peak,60.0
003,am_peak,60.0
003,early,60.0
003,evening,60.0
003,midday,60.0
003,owl,120.0
003,pm_peak,60.0
004,am_peak,60.0
004,early,60.0
004,evening,60.0
004,midday,40.0
004,owl,120.0
004,pm_peak,60.0
005,am_peak,60.0
005,early,60.0
005,evening,60.0
005,midday,60.0
005,owl,144.0
005,pm_peak,60.0
006,am_peak,15.0
006,early,30.0
006,evening,24.0
006,midday,20.0
006,owl,90.0
006,pm_peak,10.0
007,am_peak,20.0
007,early,30.0
007,evening,20.0
007,midday,10.0
007,owl,102.857142857
007,pm_peak,10.0
008,am_peak,60.0
008,early,60.0
008,evening,60.0
008,midday,60.0
008,owl,80.0
008,pm_peak,60.0
009,am_peak,60.0
009,early,60.0
009,evening,80.0
009,midday,60.0
009,owl,180.0
009,pm_peak,60.0
010,am_peak,14.4
010,early,60.0
010,evening,60.0
010,midday,60.0
010,owl,90.0
010,pm_peak,60.0
011,am_peak,40.0
011,early,80.0
011,evening,40.0
011,midday,30.0
011,owl,180.0
011,pm_peak,40.0
012,am_peak,20.0
012,evening,34.285714286
012,midday,20.0
012,pm_peak,15.0
021,am_peak,60.0
021,early,120.0
021,evening,60.0
021,midday,60.0
021,owl,240.0
021,pm_peak,60.0
022,am_peak,60.0
022,early,60.0
022,evening,60.0
022,midday,30.0
022,owl,102.857142857
022,pm_peak,60.0
023,am_peak,10.0
023,early,45.0
023,evening,5.0
023,midday,10.0
023,owl,60.0
023,pm_peak,10.0
024,am_peak,60.0
024,early,60.0
024,evening,60.0
024,midday,40.0
024,owl,90.0
024,pm_peak,60.0
025,am_peak,60.0
025,early,80.0
025,evening,60.0
025,midday,60.0
025,owl,120.0
025,pm_peak,60.0
031,am_peak,20.0
031,early,60.0
031,evening,30.0
031,midday,20.0
031,owl,90.0
031,pm_peak,24.0
032,am_peak,30.0
032,early,80.0
032,evening,60.0
032,midday,24.0
032,owl,144.0
032,pm_peak,24.0
033,am_peak,20.0
033,early,60.0
033,evening,24.0
033,midday,20.0
033,owl,72.0
033,pm_peak,10.0
034,am_peak,7.5
034,early,20.0
034,evening,20.0
034,midday,10.0
034,owl,60.0
034,pm_peak,7.5
035,am_peak,60.0
035,early,60.0
035,evening,60.0
035,midday,60.0
035,pm_peak,72.0
041,am_peak,30.0
041,pm_peak,30.0
042,am_peak,24.0
042,pm_peak,30.0
043,am_peak,40.0
043,pm_peak,40.0
044,am_peak,24.0
044,pm_peak,24.0
045,am_peak,45.0
045,pm_peak,40.0
046,am_peak,30.0
046,pm_peak,24.0
051,am_peak,45.0
051,pm_peak,40.0
052,am_peak,40.0
052,pm_peak,40.0
061,am_peak,45.0
061,pm_peak,45.0
071,am_peak,90.0
071,pm_peak,40.0
072,am_peak,24.0
072,pm_peak,24.0
073,am_peak,90.0
073,pm_peak,40.0
074,am_peak,180.0
074,pm_peak,60.0
075,am_peak,30.0
075,pm_peak,30.0
101,am_peak,20.0
101,early,60.0
101,evening,30.0
101,midday,20.0
101,owl,60.0
101,pm_peak,20.0
102,am_peak,20.0
102,early,60.0
102,evening,5.0
102,midday,7.5
102,owl,120.0
102,pm_peak,24.0
141,am_peak,60.0
141,evening,60.0
141,midday,45.0
141,pm_peak,60.0
