2026-08-26T17:24:20Z supervisor: starting fixpoint
2026-08-26T17:24:25Z supervisor: starting exp2 screen
2026-08-26T21:11:59Z supervisor: started fixpoint pid=1630 free=7459MB
2026-08-26T21:28:06Z supervisor: started fixpoint free=7424MB
2026-08-26T21:56:05Z supervisor: started fixpoint free=7423MB
2026-08-26T22:10:06Z supervisor: started fixpoint free=7410MB
2026-08-26T23:26:12Z supervisor: started fixpoint free=7001MB
2026-08-27T00:49:07Z supervisor: started fixpoint-B free=6925MB
2026-08-27T02:51:29Z supervisor: started fixpoint-A free=7340MB
2026-08-27T02:51:35Z supervisor: started fixpoint-B free=6841MB
2026-08-27T09:37:11Z supervisor: fixpoint-A exited status=0
2026-08-27T11:48:37Z supervisor: started certify-A free=6668MB
2026-08-27T13:34:12Z supervisor: fixpoint-B exited status=0
2026-08-27T13:36:08Z supervisor: started certify-B free=6757MB
2026-08-27T17:16:40Z supervisor: certify-A exited status=0
2026-08-27T17:16:45Z supervisor: all runs complete, exiting
2026-08-27T17:21:51Z supervisor: started exp2-bracket free=6711MB
2026-08-27T17:25:33Z supervisor: started certify-B free=7433MB
2026-08-27T17:25:39Z supervisor: started exp2-bracket free=7415MB
2026-08-27T17:41:29Z supervisor: exp2-bracket exited status=0
2026-08-27T17:42:17Z supervisor: started seedcheck-A free=7063MB
2026-08-27T19:05:04Z supervisor: certify-B exited status=0
2026-08-27T19:11:37Z supervisor: started seedcheck-B free=7045MB
2026-08-27T19:49:43Z supervisor: seedcheck-A exited status=0
2026-08-27T19:56:21Z supervisor: started exp2-eval-B free=7025MB
2026-08-27T20:09:20Z supervisor: started exp2-eval-B free=7042MB
2026-08-27T20:14:06Z supervisor: started exp2-eval-B free=7006MB
2026-08-27T21:36:39Z supervisor: seedcheck-B exited status=0
2026-08-27T22:14:13Z supervisor: exp2-eval-B exited status=0
2026-08-27T22:14:31Z supervisor: all runs complete, exiting
2026-08-27T22:17:21Z supervisor: started exp2-ladder free=7345MB
2026-08-28T15:09:02Z supervisor: started exp2-frontier free=7456MB
2026-08-28T15:09:07Z supervisor: started exp2-ladder free=7447MB
2026-08-29T14:12:26Z supervisor: started exp2-frontier free=7456MB
2026-08-29T14:20:20Z supervisor: started exp2-recheck free=7086MB
2026-08-29T18:38:38Z supervisor: started exp2-frontier free=7477MB
2026-08-29T18:38:44Z supervisor: started exp2-recheck free=7465MB
2026-08-29T19:09:40Z supervisor: exp2-recheck exited status=0
2026-08-29T19:10:14Z supervisor: started exp2b-stageA-0 free=6960MB
2026-08-29T19:10:15Z supervisor: exp2b-stageA-0 exited status=0
2026-08-29T19:10:19Z supervisor: started exp2b-stageA-1 free=6930MB
2026-08-29T19:10:20Z supervisor: exp2b-stageA-1 exited status=0
2026-08-29T19:12:24Z supervisor: started exp2b-stageA-0 free=6956MB
2026-08-29T19:12:25Z supervisor: exp2b-stageA-0 exited status=0
2026-08-29T19:12:29Z supervisor: started exp2b-stageA-1 free=6931MB
2026-08-29T19:12:30Z supervisor: exp2b-stageA-1 exited status=0
2026-08-29T19:14:35Z supervisor: started exp2b-stageA-0 free=6955MB
2026-08-29T19:14:36Z supervisor: exp2b-stageA-0 exited status=0
2026-08-29T19:14:40Z supervisor: started exp2b-stageA-1 free=6967MB
2026-08-29T19:14:41Z supervisor: exp2b-stageA-1 exited status=0
2026-08-29T19:16:45Z supervisor: started exp2b-stageA-0 free=6723MB
2026-08-29T19:21:55Z supervisor: exp2b-stageA-0 exited status=0
2026-08-29T19:22:44Z supervisor: started exp2b-stageA-0 free=6946MB
2026-08-29T19:26:46Z supervisor: exp2-frontier exited status=0
2026-08-29T19:27:26Z supervisor: started exp2b-stageA-1 free=7063MB
2026-08-29T19:43:46Z supervisor: exp2b-stageA-1 exited status=0
2026-08-29T19:43:56Z supervisor: started exp2-eval-B-fixed free=7020MB
2026-08-29T21:18:56Z supervisor: already running as pid 16501, exiting
2026-08-29T22:06:55Z supervisor: exp2-eval-B-fixed exited status=0
2026-08-29T22:06:56Z supervisor: started exp2-recheck-B-fixed free=7018MB
