route_id,route_name,n_trips,n_patterns,n_directions,span_start_hr,span_end_hr,span_hours,mean_runtime_min,revenue_veh_hours
008,8 KARL/S HIGH/PARSONS,144,4,2,4.966666666666667,24.9,19.93333333333333,94.95138888888889,227.88333333333333
002,2 E MAIN/N HIGH,150,4,2,4.733333333333333,24.833333333333332,20.099999999999998,85.99333333333334,214.98333333333332
001,1 KENNY/LIVINGSTON,149,4,2,4.683333333333334,24.75,20.066666666666666,86.39597315436242,214.55
010,10 E BROAD/W BROAD,143,8,2,4.666666666666667,24.783333333333335,20.116666666666667,80.94405594405595,192.91666666666666
007,7 MT VERNON,138,6,2,4.65,24.6,19.950000000000003,58.05072463768116,133.51666666666668
101,CMAX CMAX,149,4,2,4.383333333333334,24.833333333333332,20.45,50.79194630872483,126.13333333333334
005,5 W 5TH AVE/REFUGEE,74,4,2,5.1,24.816666666666666,19.71666666666667,95.36486486486487,117.61666666666666
034,34 MORSE,154,2,2,5.066666666666666,24.866666666666667,19.8,45.188311688311686,115.98333333333333
022,22 OSU-RICKENBACKER,107,5,2,5.0,24.833333333333332,19.833333333333332,64.91588785046729,115.76666666666667
023,23 JAMES-STELZER,146,2,2,5.566666666666666,24.316666666666666,18.75,44.43835616438356,108.13333333333334
003,3 NORTHWEST/HARRISBURG,79,3,2,4.616666666666666,24.816666666666666,20.2,77.9493670886076,102.63333333333334
004,4 INDIANOLA/LOCKBOURNE,75,3,2,4.683333333333334,24.683333333333334,20.0,75.74666666666667,94.68333333333334
102,102 POLARIS PKWY/N HIGH,74,2,2,5.016666666666667,24.95,19.933333333333334,74.87837837837837,92.35
006,6 SULLIVANT,134,2,2,5.283333333333333,24.633333333333333,19.35,40.701492537313435,90.9
024,24 HAMILTON RD,76,2,2,5.05,24.733333333333334,19.683333333333334,71.44736842105263,90.5
031,31 HUDSON,78,2,2,4.783333333333333,24.733333333333334,19.950000000000003,65.44871794871794,85.08333333333333
009,9 W MOUND/BRENTNELL,38,2,2,4.9,24.883333333333333,19.983333333333334,98.89473684210526,62.63333333333333
033,33 HENDERSON,78,4,2,5.083333333333333,24.833333333333332,19.75,42.88461538461539,55.75
011,11 BRYDEN/MAIZE,38,2,2,4.85,24.75,19.9,77.63157894736842,49.166666666666664
025,25 BRICE,43,2,2,4.916666666666667,25.333333333333332,20.416666666666664,64.25581395348837,46.05
032,32 N BROADWAY,40,2,2,4.883333333333334,25.25,20.366666666666667,62.05,41.36666666666667
021,21 HILLIARD ROME,38,2,2,5.0,24.533333333333335,19.533333333333335,63.18421052631579,40.016666666666666
012,12 MCKINLEY/FIELDS,82,2,2,6.583333333333333,21.783333333333335,15.200000000000003,20.902439024390244,28.566666666666666
035,35 DUBLIN-GRANVILLE,36,2,2,4.916666666666667,22.766666666666666,17.849999999999998,47.47222222222222,28.483333333333334
141,ZOO COLUMBUS ZOO,10,2,2,8.0,18.95,10.95,42.9,7.15
073,73 DUBLIN,8,4,2,6.783333333333333,18.05,11.266666666666667,37.75,5.033333333333333
051,51 REYNOLDSBURG,10,2,2,6.5,17.65,11.149999999999999,29.0,4.833333333333333
045,45 NEW ALBANY,6,4,2,6.25,17.866666666666667,11.616666666666667,34.666666666666664,3.466666666666667
052,52 CANAL WINCHESTER,6,2,2,6.2,17.733333333333334,11.533333333333335,34.5,3.45
072,72 TUTTLE,4,2,2,6.5,17.916666666666668,11.416666666666668,45.5,3.033333333333333
071,71 HILLIARD,4,2,2,6.666666666666667,17.95,11.283333333333331,41.5,2.7666666666666666
043,43 WESTERVILLE,4,4,2,6.75,17.75,11.0,41.25,2.75
061,61 GROVE CITY,4,2,2,6.75,18.333333333333332,11.583333333333332,28.5,1.9
074,74 SMOKY ROW,2,2,2,6.916666666666667,18.183333333333334,11.266666666666666,52.5,1.75
042,42 SHARON WOODS,2,2,2,7.016666666666667,17.966666666666665,10.95,41.5,1.3833333333333333
075,75 ARLINGTON/1ST AVE,2,2,2,7.266666666666667,17.683333333333334,10.416666666666668,40.5,1.35
041,41 CROSSWOODS-POLARIS,2,2,2,6.933333333333334,17.516666666666666,10.583333333333332,30.5,1.0166666666666666
044,44 EASTON,2,2,2,7.25,17.566666666666666,10.316666666666666,28.0,0.9333333333333333
046,46 GAHANNA,2,2,2,7.4,17.083333333333332,9.683333333333332,21.0,0.7
